Tweet Id,Type
1333564431679229952,pro_vaccines
1333825463970574336,pro_vaccines
1333875921493905409,pro_vaccines
1333884159736078337,pro_vaccines
1334110797807677442,pro_vaccines
1334118012564201473,pro_vaccines
1334118953367588865,pro_vaccines
1334120229169934338,pro_vaccines
1334178571758292993,pro_vaccines
1334194343247290368,pro_vaccines
1334255700877438977,pro_vaccines
1334273623998205953,pro_vaccines
1334304195281891333,pro_vaccines
1334356585015963648,pro_vaccines
1334386008071176193,pro_vaccines
1334483367061041165,pro_vaccines
1334567871465148416,pro_vaccines
1334569794075504646,pro_vaccines
1334575977935073285,pro_vaccines
1334590803587395584,pro_vaccines
1334613860435705856,pro_vaccines
1334645011757944832,pro_vaccines
1334660764087459840,pro_vaccines
1334688696726118400,pro_vaccines
1334734864252342273,pro_vaccines
1334752110705926144,pro_vaccines
1334920324521947137,pro_vaccines
1335076335727861762,pro_vaccines
1335222187574353925,pro_vaccines
1335272925541396483,pro_vaccines
1335644796900274177,pro_vaccines
1335659043986272267,pro_vaccines
1335753444737617920,pro_vaccines
1335858989553348608,pro_vaccines
1335881369906450432,pro_vaccines
1335990379737460737,pro_vaccines
1336066896114798592,pro_vaccines
1336067009868668928,pro_vaccines
1336157030420262912,pro_vaccines
1336244793375137793,pro_vaccines
1336278418862845953,pro_vaccines
1336310819617910786,pro_vaccines
1336337908517597184,pro_vaccines
1336362012616568832,pro_vaccines
1336400061849210880,pro_vaccines
1336435045154783232,pro_vaccines
1336456930613714946,pro_vaccines
1336510593919021056,pro_vaccines
1336631933351161856,pro_vaccines
1336680842995920897,pro_vaccines
1336687324785045504,pro_vaccines
1336723022577725441,pro_vaccines
1336727099336515584,pro_vaccines
1336727638900019200,pro_vaccines
1336729685296701440,pro_vaccines
1337089544055889928,pro_vaccines
1337115018374959104,pro_vaccines
1337163505884073989,pro_vaccines
1337261675498631168,pro_vaccines
1337297431709495297,pro_vaccines
1337389711439106049,pro_vaccines
1337395209454415875,pro_vaccines
1337401069916262401,pro_vaccines
1337425375706669056,pro_vaccines
1337426999074287616,pro_vaccines
1337461393268895745,pro_vaccines
1337478874360233984,pro_vaccines
1337513245184241671,pro_vaccines
1337573803367538689,pro_vaccines
1337631988950298625,pro_vaccines
1337632245947879425,pro_vaccines
1337632825437265921,pro_vaccines
1337727975672991744,pro_vaccines
1337736775863840770,pro_vaccines
1337737822292348928,pro_vaccines
1337757715217723392,pro_vaccines
1337761374991224833,pro_vaccines
1337763287002456065,pro_vaccines
1337774926225354754,pro_vaccines
1337848314713161729,pro_vaccines
1337850510540492800,pro_vaccines
1337896418120519681,pro_vaccines
1337898451510685699,pro_vaccines
1337952839642075136,pro_vaccines
1338162804914868227,pro_vaccines
1338188758714359812,pro_vaccines
1338217683356008450,pro_vaccines
1338247772051558408,pro_vaccines
1338281172040822785,pro_vaccines
1338283025642164225,pro_vaccines
1338289387272949760,pro_vaccines
1338456318143815680,pro_vaccines
1338499283272818689,pro_vaccines
1338524405538955266,pro_vaccines
1338542555403792387,pro_vaccines
1338637664938029058,pro_vaccines
1338642050326044675,pro_vaccines
1338802645214121984,pro_vaccines
1338922315787030528,pro_vaccines
